A1_1_PEIS,A1_2_FAULT_DISTANCE,A1_3_SEISMIC_SOURCE_TYPE,A1_4_LIQUEFACTION,A2_1_BASIC_WIND_SPEED,A2_2_BUILDING_VICINITY,A3_1_SLOPE,A3_2_ELEVATION,A3_3_DISTANCE_TO_RIVERS_AND_SEAS,A3_4_SURFACE_RUNOFF,A3_5_BASE_HEIGHT,A3_6_DRAINAGE_SYSTEM,B1_1_AESTHETIC_THEME,B1_2_STYLE_UNIQUE,B1_3_STYLE_TYPICAL,B1_4_CITYSCAPE_INTEGRATION,B2_1_AGE_OF_BUILDING,B2_2_PAST_RELEVANCE,B2_3_GEO_IMPACT,B2_4_CULTURAL_HERITAGE_TIE,B2_5_MESSAGE_WORTH_PRESERVING,B3_1_NO_INITIATIVES,B3_2_PROMINENT_SUPPORT,B3_3_IMPORTANCE_DAILY_LIFE,B3_4_NO_PROMOTION,B4_1_TOURIST_MUST_SEE,B4_2_TOURISM_CONTRIBUTION,B4_3_VISITED_FOR_GOODS,B4_4_CURRENT_USE_ADOPTS_NEEDS,C1_1_CODE_YEAR_BUILT,C1_2_PLAN_IRREGULARITY,C1_3_VERTICAL_IRREGULARITY,C1_4_BUILDING_PROXIMITY,C1_5_NUMBER_OF_STOREYS,C1_6_STRUCT_SYSTEM_MATERIAL,C1_7_NUMBER_OF_BAYS,C1_8_COLUMN_SPACING,C1_9_BUILDING_ENCLOSURE,C1_10_WALL_MATERIAL,C1_11_FRAMING_TYPE,C1_12_FLOORING_MATERIAL,C2_1_CRACK_WIDTH,C2_2_UNEVEN_SETTLEMENT,C2_3_BEAM_COLUMN_DEFORMATION,C2_4_FINISHING_DETERIORATION,C2_5_MEMBER_DECAY,C2_6_ADDITIONAL_LOADS,C3_1_ROOF_DESIGN,C3_2_ROOF_SLOPE,C3_3_ROOFING_MATERIAL,C4_1_ROOF_FASTENERS,C4_2_FASTENER_SPACING,HAZARD_RATING,EXPOSURE_RATING,VULNERABILITY_RATING,RISK_RATING,RISK_INDEX,risk
1,1,1,3,3,3,1,1,3,1,3,3,3,1,3,3,3,1,3,1,1,3,3,3,1,1,3,1,1,2,1,3,2,3,3,1,3,3,1,1,3,1,1,1,3,3,3,3,2,3,1,1,2.04,2.0303030303030303,2.0,8.283636363636363,3.068013468013468,LOW
1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2.68,2.787878787878788,2.9215686274509802,21.828544266191326,8.084646024515306,HIGH
1,3,1,3,3,1,3,1,3,2,3,1,2,2,3,3,1,1,1,2,1,1,3,3,1,3,1,3,1,3,3,3,1,3,1,1,2,1,3,3,1,3,1,1,1,3,1,1,1,3,3,3,2.08,1.8181818181818181,2.0784313725490198,7.8602495543672015,2.911203538654519,LOW
3,1,3,1,1,3,1,1,3,3,1,1,3,3,3,1,1,1,1,3,1,3,3,3,1,3,3,3,1,1,3,3,1,3,3,3,1,3,1,3,3,1,1,3,3,3,3,3,3,3,1,1,1.96,2.090909090909091,2.411764705882353,9.883850267379678,3.6606852842146957,MEDIUM
3,3,2,2,3,3,1,1,3,1,3,3,1,3,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,2,2,3,3,1,3,3,1,3,1,3,1,3,3,3,3,3,3,3,1,3,2.52,1.9696969696969697,2.3137254901960786,11.484491978609627,4.253515547633196,MEDIUM
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,1,3,1,3,1,3,1,3,3,3,3,3,3,1,3,1,3,1,3,3,3,3,3,3,3,3,3,1,1,2.76,2.5454545454545454,2.5294117647058822,17.77026737967914,6.581580510992274,MEDIUM
1,1,1,1,1,3,1,1,3,1,3,3,1,1,3,3,3,1,3,1,1,1,2,1,1,3,1,1,1,1,3,3,1,3,3,1,3,1,3,2,1,1,3,1,1,1,3,1,3,1,1,1,1.64,1.5757575757575757,1.7254901960784315,4.459084967320261,1.651512950859356,LOW
1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.2121212121212122,1.1568627450980393,1.4022578728461084,0.5193547677207809,LOW
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,1,3,3,1,3,3,1,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,1,3,3,2,2,3,3,3,3,3,1,3.0,2.272727272727273,2.588235294117647,17.647058823529413,6.5359477124183005,MEDIUM
3,1,1,1,2,3,2,1,1,3,3,3,3,3,1,1,1,1,3,1,3,3,1,3,1,3,1,1,1,1,1,3,2,1,1,1,1,3,1,1,1,1,1,3,2,3,1,1,3,3,3,3,1.84,1.7878787878787878,1.8627450980392157,6.127866904337492,2.269580334939812,LOW
